Auftragsname,Wörter,Zeit,Von,Sprache,Übersetzung,Korrektur,Kanal,Ablageort,Eingang,Lieferdatum,Deadline,Abteilung,Status,Verantwortlich,Bereich
translations--myfosp1--2026-08-10_de.po,509,,MSE,NL,Angelique,,Cloud,Z:\Produkte\F!Box allgemein\GUI-JS3\<Sprache>\2026.08,8/7/2026,8/12/2026,8/12/2026,User Interface & Clients,geliefert,Lbo,
Delta_2026-07-27_to_2026-08-07.po,509,,MSE,PL,Christoph,,Cloud,Z:\Produkte\F!Box allgemein\GUI-JS3\<Sprache>\2026.08,8/7/2026,8/12/2026,8/12/2026,User Interface & Clients,geliefert,Lbo,
Delta_2026-07-27_to_2026-08-07.po,509,,MSE,SL,Yabylon,,Cloud,Z:\Produkte\F!Box allgemein\GUI-JS3\<Sprache>\2026.08,8/7/2026,8/12/2026,8/12/2026,User Interface & Clients,geliefert,Lbo,
B2B Menü.docx,11,,CST,IT,Laura,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/12/2026,D2C Ecommerce,geliefert,Lbo,
B2B Menü.docx,11,,CST,ES,Alba,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/12/2026,D2C Ecommerce,geliefert,Lbo,
B2B Menü.docx,11,,CST,FR,Martine,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/12/2026,D2C Ecommerce,geliefert,Lbo,
B2B Menü.docx,11,,CST,NL,Angelique,,LS-Tracker,Z:\Produkte\FRITZ!com\2026.08\KW 32,8/7/2026,8/12/2026,8/12/2026,D2C Ecommerce,geliefert,Lbo,
cloud-mailing_fraud-detected-notification_tv1_box_de.properties,106,,MxG,EN,Susan,,jazz,Z:\Produkte\F!Apps\FappSmartHome\GUI\Android\deutsch\2026.07,8/10/2026,8/12/2026,8/12/2026,IT,geliefert,FSc,
cloud-mailing_fraud-detected-notification_tv1_box_de.properties,106,,MxG,Es,Maria,Helena,jazz,Z:\Produkte\F!Apps\FappSmartHome\GUI\Android\deutsch\2026.07,8/10/2026,8/12/2026,8/12/2026,IT,geliefert,FSc,
cloud-mailing_fraud-detected-notification_tv1_box_de.properties,106,,MxG,Fr,Martine,,jazz,Z:\Produkte\F!Apps\FappSmartHome\GUI\Android\deutsch\2026.07,8/10/2026,8/12/2026,8/12/2026,IT,geliefert,FSc,
cloud-mailing_fraud-detected-notification_tv1_box_de.properties,106,,MxG,It,Laura,,jazz,Z:\Produkte\F!Apps\FappSmartHome\GUI\Android\deutsch\2026.07,8/10/2026,8/12/2026,8/12/2026,IT,geliefert,FSc,
cloud-mailing_fraud-detected-notification_tv1_box_de.properties,106,,MxG,Nl,Angelique,,jazz,Z:\Produkte\F!Apps\FappSmartHome\GUI\Android\deutsch\2026.07,8/10/2026,8/12/2026,8/12/2026,IT,geliefert,FSc,
cloud-mailing_fraud-detected-notification_tv1_repeater_de.properties,106,,MxG,EN,Susan,,jazz,Z:\Produkte\F!Apps\FappSmartHome\GUI\Android\deutsch\2026.07,8/10/2026,8/12/2026,8/12/2026,IT,geliefert,FSc,
cloud-mailing_fraud-detected-notification_tv1_repeater_de.properties,106,,MxG,Es,Maria,Helena,jazz,Z:\Produkte\F!Apps\FappSmartHome\GUI\Android\deutsch\2026.07,8/10/2026,8/12/2026,8/12/2026,IT,geliefert,FSc,
